"DoctorID","Region","Category","Rank","Incidence rate","R rate","Satisfaction","Experience","Purchases"
"AHDCBA","4 15","Specialist","Ambassador",49,0.9,"53.85",1.2,49
"ABHAHF","1 8 T4","General Practitioner","Ambassador",37,0,"100.00",0,38
"FDHFJ","1 9 T4","Specialist","Ambassador",33,1.53,"--",0,34
"BJJHCA","1 10 T3","Specialist","Ambassador",28,2.03,"--",0.48,29
"FJBEA","1 14 T4","Specialist","Ambassador",23,0.96,"76.79",0.75,24
"BCJCED","1 10","Specialist","Platinum Plus",19,1.2,"-50.00",0.1,20
"FCGIG","1 8 T3","Specialist","Titanium",18,1.68,"--",0.26,19
"HFIDE","1 11","Specialist","Ambassador",15,1.19,"--",0.38,16
"ICBGB","1 12","Specialist","Platinum Plus",15,0.81,"--",0.25,16
"FCBDC","2 7 19","Specialist","Silver Plus",14,0.07,"--",0.07,14
"HCIEB","1 19 T4","Specialist","Ambassador",14,1.63,"--",0,30
"AADIFG","1 10","Specialist","Titanium",14,0.22,"-50.00",0.47,45
"AICFDG","1 11","Specialist","Titanium",14,0.87,"14.29",0.53,15
"BJJGJE","2 11","General Practitioner","Gold",14,0.36,"66.67",0.57,14
"IFDIB","1 19 T3","Specialist","Titanium",13,1.29,"37.50",0.14,14
"FCDIF","1 11","Specialist","Ambassador",12,0.15,"--",0.62,13
"FDHGC","1 14","Specialist","Titanium",12,0.85,"--",0.62,13
"ADDCAB","1 12 T3","Specialist","Platinum Plus",12,0.17,"--",0.25,12
"BGEEHB","1 8 T3","Specialist","Titanium",12,0.5,"--",0.17,12
"AHIEIG","1 12","Specialist","Ambassador",11.33,1,"--",0.3,37
"FBEIF","1 13 T3","Specialist","Titanium",11,1,"100.00",0.09,11
"ACJAIB","1 14","General Practitioner","Platinum",11,0,"--",0.42,12
"IBIJD","1 14","Specialist","Ambassador",10,0.7,"50.00",1.1,10
"AACHCG","1 11","Specialist","Ambassador",10,1.18,"14.71",0.95,22
"AAHIHJ","1 19","Specialist","Platinum Plus",10,1.91,"75.00",0.27,11
"AEFEAG","1 19 T3","Specialist","Platinum Plus",10,1.1,"--",0,10
"AGICFF","1 21 T3","Specialist","Titanium",10,1,"-16.67",0.27,11
"AHDDAI","1 10","Specialist","Titanium",10,1.45,"46.67",0.18,11
