"DoctorID","Instructions"
"ADIFBD","Yes"
"ABHBED","No"
"FJFEG","Yes"
"AEBDAB","No"
"AJCBFE","Yes"
"GGBFD","Yes"
"AHIEIG","Yes"
"AIABDJ","Yes"
"FDHDI","Yes"
"FBFHB","Yes"
"BABGJG","Yes"
"BJDGBB","Yes"
"HIDEF","Yes"
"IDIAG","Yes"
"EIEIB","Yes"
"GGCCG","Yes"
"GGCFB","Yes"
"HDFJH","Yes"
"HCAIC","Yes"
"GDJGB","Yes"
"AAEAAJ","Yes"
"FDBFC","Yes"
"FCFJF","No"
"AABAAC","No"
"ADBEEF","No"
"ACEHEG","Yes"
"FAFFH","Yes"
"FBAHB","Yes"
"HBBCA","Yes"
"GIEAH","No"
"BACJAD","Yes"
"AAAEAH","Yes"
"FBEHD","Yes"
"IJDHE","Yes"
"BEAGDA","Yes"
"ACCBHF","Yes"
"FDHGC","No"
"FBFGD","No"
"EHDDC","Yes"
"FCDBG","Yes"
"EIFEJ","Yes"
"ACIFIF","Yes"
"FABAI","Yes"
"ACBBCA","Yes"
"AHDCBA","Yes"
"AEFJHG","Yes"
"AJCAGD","Yes"
"AACHCG","Yes"
"FAICE","Yes"
"EIEJD","Yes"
"FDIJG","Yes"
"EIBIE","Yes"
"CCCBCE","No"
"AFCGAH","Yes"
"AEFJCG","Yes"
"GDADF","Yes"
"IAEBD","Yes"
"GDGHI","Yes"
"GGCDI","Yes"
"ACBGIB","Yes"
"EIEJB","No"
"FCDID","Yes"
"HCCIE","Yes"
"ABCGDJ","Yes"
"ABDJAA","Yes"
"AAIJGC","Yes"
"IABCA","Yes"
"BEDIAF","Yes"
"FAHJJ","Yes"
"HFHII","Yes"
"FBGCC","Yes"
"BDDCCJ","Yes"
"ABEAFF","Yes"
"FCGCI","Yes"
"FBAHD","Yes"
"FCABB","Yes"
"GHDFB","Yes"
